center,difference,J,Jsim
0.0015686849676162015,3.5746352845053586,23.235129349284836,19.660494064779478
0.0016893530420482171,2.1844993405310493,16.284449629413274,14.099950288882225
0.0018100211164802326,0.7943633965567454,13.702768590603878,12.908405194047132
0.001930689190912248,0.0,10.52531500437691,10.52531500437691
0.0020513572653442637,0.3971816982783718,7.546452267289078,7.149270569010707
0.002172025339776279,0.39718169827837535,6.752088870732359,6.354907172453983
0.0022926934142082946,1.390135943974304,4.964771228479657,3.5746352845053533
0.00241336148864031,1.191545094835123,4.368998681062115,3.1774535862269917
0.0025340295630723255,1.3901359439743044,3.5746352845053533,2.184499340531049
0.002654697637504341,-1.5887267931134899,2.581681038809422,4.170407831922912
0.0027753657119363563,0.595772547417561,1.98590849139187,1.390135943974309
0.002896033786368372,-0.19859084913918634,2.780271887948608,2.9788627370877943
0.0030167018608003877,0.0,2.3830901896702357,2.3830901896702357
0.003137369935232403,-0.397181698278374,1.1915450948351218,1.5887267931134958
0.0032580380096644186,0.0,0.1985908491391863,0.1985908491391863
0.0033787060840964342,0.3971816982783726,0.3971816982783726,0.0
0.0034993741585284495,0.39718169827837396,0.7943633965567479,0.39718169827837396
0.003620042232960465,0.19859084913918634,0.5957725474175589,0.3971816982783726
0.0037407103073924803,0.19859084913918698,0.19859084913918698,0.0
0.003861378381824496,0.3971816982783726,0.3971816982783726,0.0
0.003982046456256511,-0.992954245695935,0.992954245695935,1.98590849139187
0.004102714530688527,-0.1985908491391856,0.1985908491391856,0.3971816982783712
0.004223382605120543,0.3971816982783739,0.5957725474175609,0.19859084913918698
0.004344050679552558,-0.992954245695935,0.39718169827837396,1.390135943974309
0.004464718753984574,0.0,0.0,0.0
0.004585386828416589,0.0,0.19859084913918698,0.19859084913918698
0.004706054902848604,0.0,0.19859084913918698,0.19859084913918698
0.00482672297728062,0.0,0.0,0.0
0.004947391051712636,-0.1985908491391856,0.1985908491391856,0.3971816982783712
0.005068059126144651,0.0,0.0,0.0
0.005188727200576666,0.0,0.0,0.0
0.005309395275008682,0.0,0.0,0.0
0.0054300633494406975,0.0,0.0,0.0
0.005550731423872713,0.0,0.0,0.0
0.005671399498304729,-0.1985908491391856,0.1985908491391856,0.3971816982783712
0.005792067572736744,0.0,0.0,0.0
0.005912735647168759,0.0,0.0,0.0
0.006033403721600775,-0.39718169827837113,0.1985908491391856,0.5957725474175567
0.006154071796032791,0.0,0.39718169827837396,0.39718169827837396
0.006274739870464806,0.19859084913918698,0.19859084913918698,0.0
0.006395407944896822,0.0,0.0,0.0
0.006516076019328837,0.0,0.0,0.0
0.006636744093760852,0.0,0.0,0.0
0.0067574121681928685,0.0,0.0,0.0
0.006878080242624884,0.0,0.0,0.0
0.006998748317056899,0.19859084913918698,0.19859084913918698,0.0
0.007119416391488914,0.0,0.0,0.0
0.00724008446592093,0.0,0.0,0.0
0.0073607525403529455,0.0,0.0,0.0
0.007481420614784961,0.0,0.0,0.0
0.007602088689216977,0.0,0.0,0.0
0.007722756763648992,0.0,0.0,0.0
0.007843424838081007,0.0,0.0,0.0
0.007964092912513022,0.0,0.0,0.0
0.008084760986945038,0.0,0.0,0.0
0.008205429061377055,0.0,0.0,0.0
0.00832609713580907,0.0,0.0,0.0
0.008446765210241085,0.0,0.0,0.0
0.0085674332846731,0.0,0.0,0.0
0.008688101359105116,0.0,0.0,0.0
0.00880876943353713,0.0,0.0,0.0
0.008929437507969148,0.0,0.0,0.0
0.009050105582401163,0.0,0.0,0.0
0.009170773656833178,0.0,0.0,0.0
0.009291441731265193,0.0,0.19859084913918698,0.19859084913918698
