lag,acf,lower,upper
36,0.005649310339721105,-0.003962019024148441,0.01526063970359065
37,-0.0018340327191028283,-0.011445667749791378,0.0077776023115857205
38,-0.005621571898135888,-0.015233239144256203,0.003990095347984426
39,-0.0036228016664610154,-0.013234771574493443,0.0059891682415714135
40,0.0030001310043470627,-0.006611964599747723,0.012612226608441848
41,0.002911853764516085,-0.006700328039765408,0.012524035568797578
42,-0.007472167369417139,-0.017084430375022094,0.0021400956361878175
43,0.0021084637555794684,-0.00750433394149508,0.011721261452654017
44,0.008537702025786789,-0.0010751382438033141,0.018150542295376892
45,0.00833640156988522,-0.0012771367107437207,0.017949939850514164
46,0.0004582775063059485,-0.009155926211039962,0.010072481223651859
47,0.00485366141610825,-0.004760544312142474,0.014467867144358975
48,0.007946280472656777,-0.001668150818793535,0.01756071176410709
49,-0.0007266779151562774,-0.010341713765094379,0.008888357934781824
50,0.0025824436936247143,-0.007032597212006439,0.012197484599255869
51,0.003066665021685622,-0.006548439733363309,0.012681769776734552
52,0.002443676093000623,-0.007171518699754652,0.012058870885755898
53,0.008575760058475174,-0.0010394919052683377,0.018191012022218685
54,-0.01009114714495452,-0.019707103179720964,-0.0004751911101880772
55,-0.0062968642947255305,-0.01591379512696315,0.0033200665375120878
56,-0.0037625300043625074,-0.013379840371225124,0.00585478036250011
57,0.008706736502421802,-0.0009107093681083468,0.01832418237295195
58,0.009125420829597553,-0.0004927506161944532,0.01874359227538956
59,-0.0030704395368913867,-0.012689407954738519,0.0065485288809557455
60,0.004271335911432877,-0.005347722729642236,0.013890394552507991
61,0.004315973437249478,-0.005303259801613781,0.013935206676112737
62,0.005871371462761326,-0.0037480400389513745,0.015490782964474027
63,-0.00508997361710025,-0.014709715010188876,0.004529767775988376
64,-0.005139407571745754,-0.014759396883865794,0.004480581740374284
65,0.004008383621039707,-0.0056118584425110555,0.01362862568459047
66,0.0020456953298972134,-0.007574700477196484,0.011666091136990912
67,-0.0067307812581374115,-0.016351217109084305,0.002889654592809483
68,-0.0014124930685200647,-0.011033362404611143,0.008208376267571012
69,0.007101932477285981,-0.0025189559487950866,0.016722820903367047
70,-0.0028044459269471202,-0.012425816939123953,0.006816925085229712
71,0.007202669900824598,-0.002418776360793312,0.016824116162442507
72,0.0061677598476082545,-0.003454182758562227,0.015789702453778736
73,-0.0022032674375101996,-0.011825573985308027,0.007419039110287627
74,0.0029925119522173633,-0.006629841036626444,0.012614864941061172
75,-0.0037511472495300024,-0.013373585909872981,0.005871291410812976
76,0.0026353233073641456,-0.006987249966236154,0.012257896580964444
77,0.006722051676468556,-0.0029005880360996467,0.01634469138903676
78,-0.006762243149388653,-0.016385315124407343,0.0028608288256300367
79,0.0006545160195802324,-0.008968993382611418,0.010278025421771883
80,-0.000514374921446227,-0.01013788842147593,0.009109138578583477
81,-0.0018845079228660914,-0.011508023953788027,0.007739008108055844
82,0.007529248825423504,-0.002094301176565755,0.017152798827412764
83,-0.0042866149434177235,-0.013910707200393668,0.005337477313558221
84,-0.0004305640641924285,-0.010054832078318298,0.00919370394993344
85,0.005371151479159845,-0.00425311830815739,0.01499542126647708
86,0.000721409927145514,-0.008903135796311423,0.01034595565060245
87,-0.009596289848172901,-0.019220840549363703,2.8260853017901544e-05
88,-0.0018252976993024328,-0.011450729153583705,0.007800133754978838
89,0.0017012759916944305,-0.007924187326146059,0.011326739309534919
90,-0.0034945424609300483,-0.013120033459343552,0.006130948537483457
91,0.001774370169549957,-0.007851237618125523,0.011399977957225436
92,0.0019577459491086496,-0.007667891948334995,0.011583383846552294
93,-0.006733311804478762,-0.016358986356660297,0.0028923627477027754
94,0.003186379252714726,-0.006439728874528625,0.012812487379958076
95,-0.0005320094097831439,-0.010158214630447339,0.009094195810881053
96,0.0015797160258578349,-0.008046491901451049,0.011205923953166719
97,-0.0007769883443401946,-0.010403220136024292,0.008849243447343903
98,-0.004328240297728003,-0.013954477862662046,0.00529799726720604
99,-0.002279144976932392,-0.011905561689018768,0.007347271735153983
100,0.0027401092800152095,-0.006886357105703948,0.012366575665734368
