lag,acf,lower,upper
82,0.040195478367579834,0.027330289792034244,0.053060666943125424
83,0.026892378993817707,0.014015634856981655,0.039769123130653755
84,0.023653094118457747,0.010771180904435584,0.03653500733247991
85,0.022070876715633802,0.009184966116685353,0.03495678731458225
86,0.02697719509535635,0.014087805025395674,0.03986658516531703
87,0.03231655149384996,0.01942196479770535,0.045211138189994574
88,0.019121810108597672,0.0062197698328990934,0.032023850384296254
89,0.020683225061741556,0.007778576209979281,0.03358787391350383
90,0.020800372188673186,0.007892672023767927,0.03370807235357844
91,0.02643400406319694,0.013523218656250537,0.039344789470143346
92,0.03229248327412218,0.01937671662945869,0.04520824991878567
93,0.029451790809003366,0.016528593877325182,0.04237498774068155
94,0.02146164195505527,0.008532267740845378,0.03439101616926517
95,0.024534236290981438,0.011601583079044967,0.037466889502917905
96,0.020164222194642045,0.007227285141833201,0.033101159247450884
97,0.013515600238466678,0.000575770303608612,0.026455430173324745
98,0.032314376626319,0.01937324721595418,0.045255506036683824
99,0.02722406956073746,0.014275514361489975,0.04017262475998495
100,0.020984525465351622,0.008030702284602358,0.03393834864610089
